520,538,483,512,523,483,504,519,323,358,355,364,329,346,333,333,173,140,190,165,171,175,168,170
511,515,504,504,543,496,518,533,334,335,366,334,346,329,345,335,190,174,155,154,159,183,193,154
533,504,526,500,470,503,505,512,347,357,358,371,314,330,325,316,181,174,185,180,190,177,189,203
494,519,531,522,478,541,464,508,319,379,345,356,347,337,336,354,181,153,172,162,179,189,191,163
480,508,515,523,503,503,478,527,321,322,332,344,338,346,298,347,161,155,159,165,166,178,169,172
514,512,503,479,499,547,523,494,336,363,337,362,373,314,292,377,161,180,168,167,174,190,172,158
496,534,532,442,487,509,493,493,321,335,331,368,355,309,322,327,168,154,142,182,198,155,177,150
549,532,498,561,478,518,488,503,321,288,364,382,346,326,346,353,165,161,175,153,174,143,186,175
341,340,327,331,327,335,307,344,198,202,207,225,230,218,206,224,94,104,120,110,108,108,107,122
351,333,334,360,350,345,344,342,238,232,226,226,231,204,217,231,119,104,131,103,123,96,121,119
346,350,356,345,342,354,347,341,195,240,234,269,235,229,230,212,104,113,115,101,123,133,127,114
347,371,374,361,350,361,374,354,211,226,249,268,224,232,223,251,117,98,122,100,122,112,142,126
320,359,355,347,331,346,328,332,229,210,205,223,233,239,200,234,120,113,107,102,118,116,149,109
333,326,340,331,307,308,311,350,218,221,224,217,214,208,227,236,94,115,104,120,105,123,129,129
327,325,317,298,318,324,305,299,225,213,221,220,183,222,193,207,109,102,106,117,117,94,118,110
352,337,362,322,329,376,326,341,247,225,224,232,234,221,185,219,116,109,128,123,121,103,126,102
170,169,181,182,173,146,159,206,95,129,111,116,111,116,98,124,59,62,51,52,65,57,61,52
156,166,153,169,150,160,155,173,108,111,123,115,102,109,108,111,59,47,65,48,53,58,62,59
167,188,181,175,171,179,170,165,111,104,126,109,117,112,98,106,66,54,65,70,56,57,72,41
169,139,184,180,165,162,165,151,109,123,98,127,97,123,83,114,64,56,48,58,58,60,51,56
173,157,184,212,192,173,176,170,87,143,115,118,131,103,112,112,52,57,70,40,56,65,64,58
165,151,176,188,153,183,180,170,112,133,122,124,114,95,87,111,53,60,74,65,58,46,56,54
184,166,174,188,201,191,191,187,105,119,152,126,125,124,101,125,77,72,53,44,61,49,72,68
172,166,160,188,170,152,169,171,125,112,130,124,101,98,105,106,62,63,55,59,65,58,53,61
