6743,6714,6663,6837,6857,6722,6719,6708,4441,4347,4510,4495,4480,4534,4456,4442,2243,2265,2180,2293,2230,2287,2291,2208
6678,6523,6645,6633,6534,6663,6625,6658,4455,4374,4392,4385,4368,4469,4453,4525,2188,2204,2245,2240,2177,2244,2164,2213
6712,6552,6756,6723,6708,6642,6767,6661,4611,4327,4453,4489,4367,4336,4325,4356,2252,2299,2207,2222,2276,2259,2347,2213
6885,6650,6836,6834,6800,6756,6835,6761,4480,4507,4490,4497,4511,4422,4590,4476,2253,2225,2318,2274,2205,2274,2162,2239
6765,6754,6693,6700,6726,6653,6690,6711,4452,4452,4458,4552,4366,4510,4471,4396,2173,2223,2183,2277,2263,2239,2228,2280
6765,6692,6630,6743,6670,6682,6739,6700,4403,4421,4472,4528,4436,4463,4435,4410,2216,2185,2259,2225,2191,2165,2161,2314
6763,6771,6626,6823,6764,6669,6784,6697,4470,4431,4565,4589,4390,4375,4429,4444,2255,2213,2189,2196,2194,2255,2256,2242
6621,6757,6656,6773,6691,6790,6680,6727,4377,4523,4387,4452,4431,4487,4398,4430,2229,2242,2236,2287,2214,2196,2225,2221
4437,4369,4398,4503,4465,4499,4502,4412,2928,2916,2924,2977,2994,2913,2820,2919,1473,1535,1452,1444,1524,1557,1468,1506
4411,4227,4361,4406,4416,4423,4472,4333,2961,2882,2884,3006,2862,2900,2927,2903,1469,1471,1478,1556,1488,1534,1476,1524
4499,4373,4475,4457,4558,4484,4458,4460,2845,2933,2948,3003,2907,2904,3046,3028,1430,1502,1501,1501,1497,1463,1501,1522
4500,4498,4473,4592,4526,4508,4370,4549,3030,3063,3033,3031,2901,2986,2883,2945,1524,1496,1494,1489,1454,1498,1409,1503
4500,4357,4313,4489,4381,4239,4429,4505,2887,2889,2986,2973,2917,2997,2936,2964,1475,1471,1471,1504,1499,1489,1444,1460
4511,4346,4485,4507,4392,4489,4551,4435,2922,2936,2977,2976,2877,2971,2982,3005,1488,1468,1473,1458,1395,1494,1432,1455
4511,4426,4458,4445,4440,4385,4501,4484,2968,2940,2930,2958,2998,2946,2900,2986,1397,1495,1452,1475,1421,1488,1497,1474
4474,4449,4437,4514,4434,4525,4459,4399,2969,2794,2936,2909,2926,3020,2988,2883,1447,1469,1471,1512,1422,1537,1456,1480
2162,2203,2224,2283,2252,2192,2240,2226,1466,1491,1491,1535,1439,1494,1461,1469,720,710,739,704,729,772,671,712
2257,2241,2307,2238,2206,2199,2272,2243,1495,1461,1457,1498,1485,1452,1518,1459,726,672,700,717,745,708,753,796
2238,2131,2275,2218,2210,2201,2170,2253,1491,1426,1457,1460,1532,1453,1496,1519,762,760,760,730,728,741,747,722
2319,2238,2210,2341,2196,2277,2294,2221,1450,1513,1500,1483,1431,1483,1536,1494,720,738,725,751,744,729,734,708
2206,2191,2168,2307,2241,2257,2186,2284,1449,1407,1468,1507,1489,1436,1497,1387,752,745,719,744,727,765,759,689
2208,2315,2266,2317,2299,2219,2288,2281,1461,1457,1527,1457,1477,1527,1442,1527,711,752,768,723,758,766,712,722
2263,2098,2256,2296,2194,2186,2188,2086,1452,1472,1552,1501,1441,1432,1507,1505,752,737,726,752,746,755,700,763
2237,2180,2249,2301,2255,2240,2176,2231,1472,1408,1498,1494,1555,1510,1479,1443,730,728,734,761,753,765,767,744
