143,398,400,386,375,347,398,367,263,244,285,264,267,248,266,268,111,124,118,127,149,137,121,128
398,127,373,374,386,392,364,396,226,267,268,280,265,241,248,271,151,148,133,107,143,129,135,150
400,373,146,392,369,391,382,352,238,269,260,289,267,271,231,253,138,135,146,144,131,133,149,121
386,374,392,152,384,394,387,387,241,262,248,266,252,243,240,249,134,113,139,124,133,132,142,144
375,386,369,384,121,375,349,386,260,262,271,261,228,250,251,267,138,130,145,126,136,133,160,135
347,392,391,394,375,144,350,374,243,279,272,264,238,235,267,248,150,131,138,108,155,153,140,133
398,364,382,387,349,350,127,389,229,258,264,264,261,254,243,280,144,124,134,124,136,134,127,125
367,396,352,387,386,374,389,137,277,268,256,277,253,248,242,270,125,133,138,137,132,128,136,136
263,226,238,241,260,243,229,277,36,144,188,168,181,184,153,188,84,93,90,90,100,112,92,89
244,267,269,262,262,279,258,268,144,45,183,187,164,180,164,194,99,85,82,82,93,88,108,98
285,268,260,248,271,272,264,256,188,183,60,169,214,161,169,166,97,84,84,86,90,94,110,85
264,280,289,266,261,264,264,277,168,187,169,47,189,207,175,188,91,96,113,109,103,95,105,99
267,265,267,252,228,238,261,253,181,164,214,189,52,165,175,178,91,77,85,84,102,86,109,90
248,241,271,243,250,235,254,248,184,180,161,207,165,44,153,176,89,80,94,87,88,80,97,105
266,248,231,240,251,267,243,242,153,164,169,175,175,153,34,167,87,70,90,81,79,72,93,89
268,271,253,249,267,248,280,270,188,194,166,188,178,176,167,33,93,96,84,95,87,80,115,91
111,151,138,134,138,150,144,125,84,99,97,91,91,89,87,93,0,46,45,41,56,31,56,32
124,148,135,113,130,131,124,133,93,85,84,96,77,80,70,96,46,0,42,42,50,37,41,54
118,133,146,139,145,138,134,138,90,82,84,113,85,94,90,84,45,42,0,44,48,52,52,41
127,107,144,124,126,108,124,137,90,82,86,109,84,87,81,95,41,42,44,0,49,62,48,42
149,143,131,133,136,155,136,132,100,93,90,103,102,88,79,87,56,50,48,49,0,39,48,40
137,129,133,132,133,153,134,128,112,88,94,95,86,80,72,80,31,37,52,62,39,0,51,50
121,135,149,142,160,140,127,136,92,108,110,105,109,97,93,115,56,41,52,48,48,51,0,44
128,150,121,144,135,133,125,136,89,98,85,99,90,105,89,91,32,54,41,42,40,50,44,0
